precision,terms,method,n,result
30,50,iterative,10,-0.90088781664992458882403769600
30,50,iterative,20,-0.95011825716995939042426880000
30,50,iterative,50,-6.89259318972533509290390494945E+35
30,50,iterative,100,-2.11500514819074343925954312346E+129
30,100,iterative,10,-0.90088781664992458882403769600
30,100,iterative,20,-0.95011825716995939042426880000
30,100,iterative,50,-6.89259318972533509290390494945E+35
30,100,iterative,100,-2.11500514819074343925954312346E+129
30,200,iterative,10,-0.90088781664992458882403769600
30,200,iterative,20,-0.95011825716995939042426880000
30,200,iterative,50,-6.89259318972533509290390494945E+35
30,200,iterative,100,-2.11500514819074343925954312346E+129
30,500,iterative,10,-0.90088781664992458882403769600
30,500,iterative,20,-0.95011825716995939042426880000
30,500,iterative,50,-6.89259318972533509290390494945E+35
30,500,iterative,100,-2.11500514819074343925954312346E+129
30,50,closed_form,10,-0.90088781664992458882406240000
30,50,closed_form,20,-0.95011825713298073891471360000
30,50,closed_form,50,-2
30,50,closed_form,100,-2
30,100,closed_form,10,-0.90088781664992458882406240000
30,100,closed_form,20,-0.95011825713298073891471360000
30,100,closed_form,50,-2
30,100,closed_form,100,-2
30,200,closed_form,10,-0.90088781664992458882406240000
30,200,closed_form,20,-0.95011825713298073891471360000
30,200,closed_form,50,-2
30,200,closed_form,100,-2
30,500,closed_form,10,-0.90088781664992458882406240000
30,500,closed_form,20,-0.95011825713298073891471360000
30,500,closed_form,50,-2
30,500,closed_form,100,-2
50,50,iterative,10,-0.9008878166499245888239554583281385017463821657600
50,50,iterative,20,-0.9501182571148237541203637455817523041704673280000
50,50,iterative,50,-4853327918013764.2076908942401724340947556862498178
50,50,iterative,100,-1.4892527746681096516789915789944189641791852011079E+109
50,100,iterative,10,-0.9008878166499245888239554583281385017463821657600
50,100,iterative,20,-0.9501182571148237541203637455817523041704673280000
50,100,iterative,50,-4853327918013764.2076908942401724340947556862498178
50,100,iterative,100,-1.4892527746681096516789915789944189641791852011079E+109
50,200,iterative,10,-0.9008878166499245888239554583281385017463821657600
50,200,iterative,20,-0.9501182571148237541203637455817523041704673280000
50,200,iterative,50,-4853327918013764.2076908942401724340947556862498178
50,200,iterative,100,-1.4892527746681096516789915789944189641791852011079E+109
50,500,iterative,10,-0.9008878166499245888239554583281385017463821657600
50,500,iterative,20,-0.9501182571148237541203637455817523041704673280000
50,500,iterative,50,-4853327918013764.2076908942401724340947556862498178
50,500,iterative,100,-1.4892527746681096516789915789944189641791852011079E+109
50,50,closed_form,10,-0.9008878166499245888239554583281385017463821939200
50,50,closed_form,20,-0.9501182571148237541203637455816362953363947520000
50,50,closed_form,50,-2.0000000000000000000000000000000000
50,50,closed_form,100,-2
50,100,closed_form,10,-0.9008878166499245888239554583281385017463821939200
50,100,closed_form,20,-0.9501182571148237541203637455816362953363947520000
50,100,closed_form,50,-2.0000000000000000000000000000000000
50,100,closed_form,100,-2
50,200,closed_form,10,-0.9008878166499245888239554583281385017463821939200
50,200,closed_form,20,-0.9501182571148237541203637455816362953363947520000
50,200,closed_form,50,-2.0000000000000000000000000000000000
50,200,closed_form,100,-2
50,500,closed_form,10,-0.9008878166499245888239554583281385017463821939200
50,500,closed_form,20,-0.9501182571148237541203637455816362953363947520000
50,500,closed_form,50,-2.0000000000000000000000000000000000
50,500,closed_form,100,-2
80,50,iterative,10,-0.9008878166499245888239554583281385017463815866943598678726365691596540676761600
80,50,iterative,20,-0.9501182571148237541203637455813640739128770655985241467636070907900276244480000
80,50,iterative,50,-2.0000000000000048070240378743679166180768817811719439843807392169984000000000000
80,50,iterative,100,-3.1298650921029560045180562634389326886458002372177974970997277826447143487039574E+93
80,100,iterative,10,-0.9008878166499245888239554583281385017463815866943598678725148707237730464691200
80,100,iterative,20,-0.9501182571148237541203637455813640739128770655169323343057993980507685519360000
80,100,iterative,50,-0.9800078341633319316736204691161209044452512305696471975992164876288000000000000
80,100,iterative,100,506632356369795074070539391259082260993194031957079612262034534624195448740989.99
80,200,iterative,10,-0.9008878166499245888239554583281385017463815866943598678725148707237730464691200
80,200,iterative,20,-0.9501182571148237541203637455813640739128770655169323343057993980507685519360000
80,200,iterative,50,-0.9800078341633319316736204691161209044452512305696471975992164876288000000000000
80,200,iterative,100,506632356369795074070539391259082260993194031957079612262034534624195448740989.99
80,500,iterative,10,-0.9008878166499245888239554583281385017463815866943598678725148707237730464691200
80,500,iterative,20,-0.9501182571148237541203637455813640739128770655169323343057993980507685519360000
80,500,iterative,50,-0.9800078341633319316736204691161209044452512305696471975992164876288000000000000
80,500,iterative,100,506632356369795074070539391259082260993194031957079612262034534624195448740989.99
80,50,closed_form,10,-0.9008878166499245888239554583281385017463815866943598678726365691596540679462400
80,50,closed_form,20,-0.9501182571148237541203637455813640739128770655985241467636071846524958965760000
80,50,closed_form,50,-2.0000000000000000000000000000000000000000000000000000000000000000000000000000000
80,50,closed_form,100,-3.1298650921029565111504126332340067591851914963000584902937597397243266107384927E+93
80,100,closed_form,10,-0.9008878166499245888239554583281385017463815866943598678725148707237730467392000
80,100,closed_form,20,-0.9501182571148237541203637455813640739128770655169323343057994919132368240640000
80,100,closed_form,50,-0.9800078341633271246495825947482042863683694493977032132184772706304000000000000
80,100,closed_form,100,-2.0
80,200,closed_form,10,-0.9008878166499245888239554583281385017463815866943598678725148707237730467392000
80,200,closed_form,20,-0.9501182571148237541203637455813640739128770655169323343057994919132368240640000
80,200,closed_form,50,-0.9800078341633271246495825947482042863683694493977032132184772706304000000000000
80,200,closed_form,100,-2.0
80,500,closed_form,10,-0.9008878166499245888239554583281385017463815866943598678725148707237730467392000
80,500,closed_form,20,-0.9501182571148237541203637455813640739128770655169323343057994919132368240640000
80,500,closed_form,50,-0.9800078341633271246495825947482042863683694493977032132184772706304000000000000
80,500,closed_form,100,-2.0
